track_name,model_name,n_used,observed_r2,observed_rmse,observed_mae,observed_pearson,null_r2_mean,null_r2_median,null_r2_q025,null_r2_q975,null_r2_max,observed_minus_null_median_r2,empirical_p_null_r2_ge_observed,null_mae_median,observed_minus_null_median_mae,n_permutations
prediction_probe_v1,test_inregime_predictions_v0.csv_regression_bins,10,0.9776482381124074,0.2240920602059677,0.1934977974775172,0.9888548384554956,-0.9310927896719676,-0.8749995686481316,-2.172946605733062,0.2177173940302018,0.532891948742261,1.852647806760539,0.0019960079840319,1.6957276058803608,-1.5022298084028436,500
prediction_probe_v1,phase4_minus_plasmid_weighted_predictions_v0.csv_regression_bins,10,0.8702707596768677,78.37380153325297,60.67577359536504,0.9424679816154152,-1.08378567829547,-1.1374711479086668,-2.264336229066355,0.250911209177104,0.6499517229075867,2.0077419075855345,0.0019960079840319,245.2629810668319,-184.58720747146688,500
prediction_probe_v1,test_inregime_decomposition_predictions_v0.csv_regression_bins,10,0.8572580809817191,0.3423169102634132,0.2987611782271358,0.929755885800442,-0.7274598191592762,-0.7245225683772405,-1.7759977947308678,0.3639894650888673,0.6249060611718463,1.5817806493589597,0.0019960079840319,0.9717706062862508,-0.673009428059115,500
prediction_probe_v1,decomp__gc_len__char6_a3__test_inregime_predictions_v0.csv_regression_bins,10,0.8572580809817186,0.3423169102634137,0.2987611782271363,0.9297558858004418,-0.7345436068484044,-0.7042350406283137,-1.7978685441739548,0.2979488391647892,0.5304278562190139,1.5614931216100325,0.0019960079840319,0.9552859157153876,-0.6565247374882514,500
Random_Promoter_DREAM_base_track_2,N09_ATLAS_FullTheory_MLP,14221,0.7503531003032482,0.375275560327155,0.2568289719612765,0.8677677642167697,-0.8369585221855866,-0.836755779015774,-0.8652543995689727,-0.8105481567654546,-0.7961608337315682,1.5871088793190222,0.0019960079840319,0.8303336391690945,-0.573504667207818,500
Random_Promoter_DREAM_base_track_5,N09_ATLAS_FullTheory_MLP,14221,0.7503531003032482,0.375275560327155,0.2568289719612765,0.8677677642167697,-0.8363834739143973,-0.8366798885937183,-0.8668766017535527,-0.8028265777440499,-0.7888241176657123,1.5870329888969663,0.0019960079840319,0.8304126677331383,-0.5735836957718617,500
Random_Promoter_DREAM_base_track_2,N07_ATLAS_T05_UncertaintyEnsemble_MLP,14221,0.7309724945680025,0.3895700273852477,0.2658079605168695,0.8555017429647859,-0.7793607656649755,-0.7785931833864815,-0.8080112039420317,-0.7512270729750304,-0.7428357812180806,1.509565677954484,0.0019960079840319,0.81781386799731,-0.5520059074804404,500
Random_Promoter_DREAM_base_track_5,N07_ATLAS_T05_UncertaintyEnsemble_MLP,14221,0.7309724945680025,0.3895700273852477,0.2658079605168695,0.8555017429647859,-0.7794254960972719,-0.7792256549299217,-0.809168187985898,-0.750807919679575,-0.7336821255227759,1.5101981494979242,0.0019960079840319,0.8178309920981133,-0.5520230315812438,500
Random_Promoter_DREAM_base_track_2,N08_ATLAS_T02_SelectionPotential_MLP,14221,0.7168657441858133,0.3996532987682145,0.2816073965113488,0.8497013096940863,-0.8421542343374661,-0.8421557989106659,-0.8711474932584478,-0.8095570985076653,-0.7878090460398313,1.5590215430964791,0.0019960079840319,0.8302339133375203,-0.5486265168261715,500
Random_Promoter_DREAM_base_track_5,N08_ATLAS_T02_SelectionPotential_MLP,14221,0.7168657441858133,0.3996532987682145,0.2816073965113488,0.8497013096940863,-0.843157273574415,-0.843485485666162,-0.872501439878555,-0.8089202702338361,-0.7981784336325879,1.5603512298519753,0.0019960079840319,0.8307116726539638,-0.549104276142615,500
