track_name,model_name,uncertainty_bin,n,mean_uncertainty,mean_abs_error
PARM_GSE301246_held_out_context_track_5,T05_uncertainty_ensemble_proxy,"(0.999, 2.8]",2,3.97079253659768,11.836773335689188
PARM_GSE301246_held_out_context_track_5,T05_uncertainty_ensemble_proxy,"(2.8, 4.6]",2,4.519262631783263,45.8476802387342
PARM_GSE301246_held_out_context_track_5,T05_uncertainty_ensemble_proxy,"(4.6, 6.4]",2,5.872829938594555,15.541893188764243
PARM_GSE301246_held_out_context_track_5,T05_uncertainty_ensemble_proxy,"(6.4, 8.2]",2,6.626495899557305,21.428716436476293
PARM_GSE301246_held_out_context_track_5,T05_uncertainty_ensemble_proxy,"(8.2, 10.0]",2,8.496720494433,29.49052266845144
PARM_GSE301246_held_out_context_track_6,T05_uncertainty_ensemble_proxy,"(0.999, 2.8]",2,4.877364764783356,27.54473539401576
PARM_GSE301246_held_out_context_track_6,T05_uncertainty_ensemble_proxy,"(2.8, 4.6]",2,6.656496307203827,35.49729670676507
PARM_GSE301246_held_out_context_track_6,T05_uncertainty_ensemble_proxy,"(4.6, 6.4]",2,8.10420317498549,30.15816129522659
PARM_GSE301246_held_out_context_track_6,T05_uncertainty_ensemble_proxy,"(6.4, 8.2]",2,8.95856652477526,31.95344415078685
PARM_GSE301246_held_out_context_track_6,T05_uncertainty_ensemble_proxy,"(8.2, 10.0]",2,9.428563946846708,29.88053244434029
PARM_GSE301246_held_out_context_track_7,T05_uncertainty_ensemble_proxy,"(0.999, 2.8]",2,1766.6448863750034,10566.728489385465
PARM_GSE301246_held_out_context_track_7,T05_uncertainty_ensemble_proxy,"(2.8, 4.6]",2,1896.0405227950585,19578.8766953866
PARM_GSE301246_held_out_context_track_7,T05_uncertainty_ensemble_proxy,"(4.6, 6.4]",2,2047.6087668288096,8879.361652965872
PARM_GSE301246_held_out_context_track_7,T05_uncertainty_ensemble_proxy,"(6.4, 8.2]",2,2224.048979857156,1398.9805916700352
PARM_GSE301246_held_out_context_track_7,T05_uncertainty_ensemble_proxy,"(8.2, 10.0]",2,2925.251145473157,15200.756319371692
PARM_GSE301246_held_out_context_track_TaskB,T05_uncertainty_ensemble_proxy,"(0.999, 27.4]",27,0.2583949452946817,0.5994258002212339
PARM_GSE301246_held_out_context_track_TaskB,T05_uncertainty_ensemble_proxy,"(27.4, 53.8]",26,0.3783797964604865,0.5059608193880883
PARM_GSE301246_held_out_context_track_TaskB,T05_uncertainty_ensemble_proxy,"(53.8, 80.2]",27,0.4705075790483689,0.5851245574709782
PARM_GSE301246_held_out_context_track_TaskB,T05_uncertainty_ensemble_proxy,"(80.2, 106.6]",26,0.597697238459808,0.4683045311648782
PARM_GSE301246_held_out_context_track_TaskB,T05_uncertainty_ensemble_proxy,"(106.6, 133.0]",27,0.8725289418490546,0.5698568919920781
PARM_GSE301246_Task_C_stress_test,T05_uncertainty_ensemble_proxy,"(0.999, 6596.0]",6596,0.0130088395404252,0.0662622699721937
