display_level,n_tracks,median_r2,mean_r2,max_r2,min_r2
01_GC_length_only,33,0.0690145919100142,-1.6883770981549149,0.1313414850065576,-21.52959053211625
02_GC_length_plus_6mer,33,0.2445119169893324,-1.4748028710438832,0.5852230090685919,-21.33319299735555
03_grammar_ladder_best,33,0.2673175163744231,-1.4135375540095634,0.6147079453964217,-20.89873013064813
04_grammar_plus_P01_P05_best,33,0.2445400023666976,-1.4425094638476073,0.6491104448680286,-21.33328725199248
05_grammar_plus_nonlinear_head,33,0.2250388580796811,0.2192057598235169,0.7382928185815737,-0.4087741396166364
06_full_ATLAS_Evo,33,0.2923026626837034,0.3216088414673841,0.9906982599387776,-0.3964052378033214
07_full_ATLAS_without_uncertainty_proxy_closest_available,33,0.3061055039539571,0.3935341166104173,0.9897799877975162,-0.4196386047729219
08_uncertainty_acquisition_proxy_head,33,0.3203563730031269,0.3113055226742608,0.991104806664817,-1.78802791950269
