track_name,model_name,n_used,observed_r2,observed_rmse,observed_mae,observed_pearson,null_r2_mean,null_r2_median,null_r2_q025,null_r2_q975,null_r2_max,observed_minus_null_median_r2,empirical_p_null_r2_ge_observed,null_mae_median,observed_minus_null_median_mae,n_permutations,priority_track,priority_model,sort_r2
Random_Promoter_DREAM_base_track_2,N09_ATLAS_FullTheory_MLP,14221,0.7503531003032482,0.375275560327155,0.2568289719612765,0.8677677642167697,-0.8369585221855866,-0.836755779015774,-0.8652543995689727,-0.8105481567654546,-0.7961608337315682,1.5871088793190222,0.0019960079840319,0.8303336391690945,-0.573504667207818,500,True,True,0.7503531003032482
Random_Promoter_DREAM_base_track_5,N09_ATLAS_FullTheory_MLP,14221,0.7503531003032482,0.375275560327155,0.2568289719612765,0.8677677642167697,-0.8363834739143973,-0.8366798885937183,-0.8668766017535527,-0.8028265777440499,-0.7888241176657123,1.5870329888969663,0.0019960079840319,0.8304126677331383,-0.5735836957718617,500,True,True,0.7503531003032482
Random_Promoter_DREAM_base_track_2,N07_ATLAS_T05_UncertaintyEnsemble_MLP,14221,0.7309724945680025,0.3895700273852477,0.2658079605168695,0.8555017429647859,-0.7793607656649755,-0.7785931833864815,-0.8080112039420317,-0.7512270729750304,-0.7428357812180806,1.509565677954484,0.0019960079840319,0.81781386799731,-0.5520059074804404,500,True,True,0.7309724945680025
Random_Promoter_DREAM_base_track_5,N07_ATLAS_T05_UncertaintyEnsemble_MLP,14221,0.7309724945680025,0.3895700273852477,0.2658079605168695,0.8555017429647859,-0.7794254960972719,-0.7792256549299217,-0.809168187985898,-0.750807919679575,-0.7336821255227759,1.5101981494979242,0.0019960079840319,0.8178309920981133,-0.5520230315812438,500,True,True,0.7309724945680025
Random_Promoter_DREAM_base_track_2,N08_ATLAS_T02_SelectionPotential_MLP,14221,0.7168657441858133,0.3996532987682145,0.2816073965113488,0.8497013096940863,-0.8421542343374661,-0.8421557989106659,-0.8711474932584478,-0.8095570985076653,-0.7878090460398313,1.5590215430964791,0.0019960079840319,0.8302339133375203,-0.5486265168261715,500,True,True,0.7168657441858133
Random_Promoter_DREAM_base_track_5,N08_ATLAS_T02_SelectionPotential_MLP,14221,0.7168657441858133,0.3996532987682145,0.2816073965113488,0.8497013096940863,-0.843157273574415,-0.843485485666162,-0.872501439878555,-0.8089202702338361,-0.7981784336325879,1.5603512298519753,0.0019960079840319,0.8307116726539638,-0.549104276142615,500,True,True,0.7168657441858133
Random_Promoter_DREAM_base_track_2,B08_MLPRegressor_reproducer,14221,0.7099476720196034,0.4045063757911675,0.2779333120902858,0.8456532058094482,-0.8415846981920038,-0.8411654909705906,-0.8736197024576392,-0.8118611523806606,-0.7965735771278801,1.551113162990194,0.0019960079840319,0.8314762081403313,-0.5535428960500455,500,True,True,0.7099476720196034
Random_Promoter_DREAM_base_track_5,B08_MLPRegressor_reproducer,14221,0.7099476720196034,0.4045063757911675,0.2779333120902858,0.8456532058094482,-0.8422023347754812,-0.8432489720053961,-0.871462381804155,-0.812273294875857,-0.7957878883063914,1.5531966440249994,0.0019960079840319,0.8316182054906281,-0.5536848934003423,500,True,True,0.7099476720196034
Random_Promoter_DREAM_base_track_2,N06_ATLAS_T04_ObservableAlignment_MLP,14221,0.7086167995309861,0.405433329710076,0.2816425622279637,0.8430182220430265,-0.7879030037511527,-0.7880994045948597,-0.8187858818653204,-0.7600584521650293,-0.7441438980595194,1.4967162041258455,0.0019960079840319,0.819661524444578,-0.5380189622166143,500,True,True,0.7086167995309861
Random_Promoter_DREAM_base_track_5,N06_ATLAS_T04_ObservableAlignment_MLP,14221,0.7086167995309861,0.405433329710076,0.2816425622279637,0.8430182220430265,-0.7889199131766703,-0.7883309457282605,-0.816762264282441,-0.762654532428859,-0.7523789112605948,1.4969477452592466,0.0019960079840319,0.8197350489920274,-0.5380924867640637,500,True,True,0.7086167995309861
Random_Promoter_DREAM_base_track_2,T04_observable_alignment_proxy,14221,0.6491104448680286,0.4449102527550926,0.337080594241646,0.805722764641018,-0.6636522217621026,-0.6641546831597173,-0.6881665678058857,-0.63815983356002,-0.6282589160119239,1.313265128027746,0.0019960079840319,0.791426403621979,-0.454345809380333,500,True,True,0.6491104448680286
Random_Promoter_DREAM_base_track_5,T04_observable_alignment_proxy,14221,0.6491104448680286,0.4449102527550926,0.337080594241646,0.805722764641018,-0.6634955629821131,-0.6630080089395527,-0.6884993829554059,-0.636276800233951,-0.6196893326418786,1.3121184538075812,0.0019960079840319,0.7913594497215855,-0.4542788554799394,500,True,True,0.6491104448680286
Random_Promoter_DREAM_base_track_2,T04_observable_alignment_proxy,14221,0.6491104448680286,0.4449102527550926,0.337080594241646,0.805722764641018,-0.6633327583303781,-0.6635908049770953,-0.6892494674667253,-0.6348013914538653,-0.6239048414941966,1.3127012498451238,0.0019960079840319,0.7911470200066546,-0.4540664257650085,500,True,True,0.6491104448680286
Random_Promoter_DREAM_base_track_5,T04_observable_alignment_proxy,14221,0.6491104448680286,0.4449102527550926,0.337080594241646,0.805722764641018,-0.6639594842748524,-0.6647506864724226,-0.6907805344805249,-0.6360905648660294,-0.6185056667211764,1.3138611313404511,0.0019960079840319,0.7915086311643896,-0.4544280369227436,500,True,True,0.6491104448680286
