track_name,source_role,evidence_level,model_id,status,r2,rmse,mae,spearman,n_train,n,split_method,n_features,bootstrap_status,n_bootstrap_input,bootstrap_repeats_requested,valid_bootstraps,r2_recomputed_from_predictions,r2_bootstrap_mean,r2_ci95_lower,r2_ci95_upper,r2_bootstrap_sd
Random_Promoter_DREAM_base_track_5,base-track structured reference,headline_base_reference,T04_observable_alignment_proxy,ok,0.6491104448680286,0.4449102527550926,0.337080594241646,0.8111186888534019,56882,14221,random_split,1690,ok,14221,1000,1000,0.6491104448680286,0.6490029678286418,0.6392247596233306,0.6588590427353809,0.005065117902784744
Random_Promoter_DREAM_base_track_2,base-track structured reference,headline_base_reference,T04_observable_alignment_proxy,ok,0.6491104448680286,0.4449102527550926,0.337080594241646,0.8111186888534019,56882,14221,random_split,1690,ok,14221,1000,1000,0.6491104448680286,0.6491921022517009,0.6385732692172575,0.6594073082762025,0.005254298989284753
Random_Promoter_DREAM_base_track_18,base-track structured reference,headline_base_reference,T04_observable_alignment_proxy,ok,0.6126186643836083,0.4721022003351542,0.3602559585627627,0.7934491193567377,16000,4000,random_split,1690,ok,4000,1000,1000,0.6126186643836083,0.6124853165126413,0.5925855957071482,0.6324642029750155,0.01055187026989547
Random_Promoter_DREAM_base_track_13,base-track structured reference,headline_base_reference,T04_observable_alignment_proxy,ok,0.6126186643836083,0.4721022003351542,0.3602559585627627,0.7934491193567377,16000,4000,random_split,1690,ok,4000,1000,1000,0.6126186643836083,0.6125214247860407,0.5916113291853848,0.6341389453934756,0.01091325405496572
Random_Promoter_DREAM_base_track_9,base-track structured reference,headline_base_reference,T04_observable_alignment_proxy,ok,0.6126186643836083,0.4721022003351542,0.3602559585627627,0.7934491193567377,16000,4000,random_split,1690,ok,4000,1000,1000,0.6126186643836083,0.6131686594653908,0.5930148387345996,0.6339652485689294,0.010484182293572166
PARM_GSE301246_held_out_context_track_5,held-out/context transfer branch,headline_transfer_evidence,M08_dynamic_condition_weighted_char6,ok,0.4307546686640491,21.72021548691409,16.402831130941742,0.8424242424242423,40,10,random_split,261,ok,10,1000,1000,0.4307546686640491,0.35730722254379,-0.32404445025444867,0.6952503562761333,0.262583519458649
PARM_GSE301246_held_out_context_track,held-out/context transfer branch,headline_transfer_evidence,T05_uncertainty_ensemble_proxy,ok,0.3955993351255749,49.56370603960791,28.49090057274019,0.7215749771715049,4500,1500,group_shuffle_by_condition,2722,ok,1500,1000,1000,0.39559933512557466,0.38715376612150554,0.2111153691402332,0.5302010194266759,0.0817517557993089
Random_Promoter_DREAM_base_track_7,base-track structured reference,headline_base_reference,T04_observable_alignment_proxy,ok,0.2876585702977691,1.9948825825181584,1.5436625248929747,0.5500810819191072,119999,30000,random_split,1690,ok,30000,1000,1000,0.2876585702977691,0.2875352336839037,0.27935783062359476,0.2963950691166444,0.0042972620149466295
Random_Promoter_DREAM_base_track_4,base-track structured reference,headline_base_reference,T04_observable_alignment_proxy,ok,0.284423689686203,2.0155352946950784,1.5614381708980112,0.5479133872972459,119999,30000,random_split,1690,ok,30000,1000,1000,0.284423689686203,0.2844345751631499,0.2759617727613054,0.29249704247342173,0.004299741526567089
Random_Promoter_DREAM_base_track_3,base-track structured reference,headline_base_reference,T04_observable_alignment_proxy,ok,0.2813359087852787,2.006696524468721,1.5577256799271724,0.5423242523612378,120000,30000,random_split,1690,ok,30000,1000,1000,0.2813359087852787,0.28159188371713023,0.27181614444070334,0.29032264346670256,0.00466905423607055
Random_Promoter_DREAM_base_track_6,base-track structured reference,headline_base_reference,T04_observable_alignment_proxy,ok,0.2807902429077594,2.0063116944466635,1.556483215049511,0.54172367202919,119999,30000,random_split,1690,ok,30000,1000,1000,0.28079024290775945,0.28069480370567523,0.2720900639319478,0.28913357713703025,0.004474544235297134
Random_Promoter_DREAM_base_track_16,base-track structured reference,headline_base_reference,T04_observable_alignment_proxy,ok,0.2796569209540137,2.0221148546846948,1.5613071049224037,0.5388702952012489,119406,29852,random_split,1690,ok,29852,1000,1000,0.27965692095401373,0.27937497899701724,0.27027810258218493,0.2886768151805535,0.00462702318733538
Random_Promoter_DREAM_base_track_15,base-track structured reference,headline_base_reference,T04_observable_alignment_proxy,ok,0.2794283772363876,2.0234222281793,1.5607145566655385,0.5430982810743058,80000,20000,random_split,1690,ok,20000,1000,1000,0.2794283772363876,0.27918866466456804,0.26783018630514094,0.29049330748293944,0.005887990868667161
Random_Promoter_DREAM_base_track_10,base-track structured reference,headline_base_reference,T04_observable_alignment_proxy,ok,0.2762271545149858,2.0093411137927597,1.547296210214178,0.5394132312599563,80000,20000,random_split,1690,ok,20000,1000,1000,0.2762271545149858,0.27598004555139954,0.26478371627863456,0.2865357046906446,0.005701866915113848
Random_Promoter_DREAM_base_track_19,base-track structured reference,headline_base_reference,T04_observable_alignment_proxy,ok,0.2739614602244904,2.028982364864745,1.5662757035199997,0.5344562583435084,80000,20000,random_split,1690,ok,20000,1000,1000,0.2739614602244904,0.27349430713335143,0.2629750466657708,0.2842737646698031,0.005469453178212373
Random_Promoter_DREAM_base_track_14,base-track structured reference,headline_base_reference,T04_observable_alignment_proxy,ok,0.2739614602244904,2.028982364864745,1.5662757035199997,0.5344562583435084,80000,20000,random_split,1690,ok,20000,1000,1000,0.2739614602244904,0.27394965620595213,0.2619003150727997,0.28469256285412115,0.005619389283986114
Random_Promoter_DREAM_base_track_8,base-track structured reference,headline_base_reference,T02_selection_potential_proxy,ok,0.2733663743201212,2.0487215094729474,1.584091330581663,0.5444972632929089,16000,4000,random_split,519,ok,4000,1000,1000,0.27336637432012123,0.2730504867590113,0.25080035343470114,0.2956015969413877,0.011579305130673895
Random_Promoter_DREAM_base_track_12,base-track structured reference,headline_base_reference,T02_selection_potential_proxy,ok,0.2445400023666976,2.0630933023798232,1.6035964094548667,0.5160835739558254,16000,4000,random_split,519,ok,4000,1000,1000,0.24454000236669782,0.2440310109983611,0.21906115664408823,0.2681974657338964,0.012779681552738818
Random_Promoter_DREAM_base_track_20,base-track structured reference,headline_base_reference,T02_selection_potential_proxy,ok,0.2304844127903973,2.0792260961963804,1.6087813519791463,0.4918534674119701,16000,4000,random_split,519,ok,4000,1000,1000,0.23048441279039733,0.2300561786576027,0.2051711980331832,0.25509231982687025,0.012790789926491191
Random_Promoter_DREAM_base_track_11,base-track structured reference,headline_base_reference,T02_selection_potential_proxy,ok,0.2304844127903973,2.0792260961963804,1.6087813519791463,0.4918534674119701,16000,4000,random_split,519,ok,4000,1000,1000,0.23048441279039733,0.22979631983745874,0.20414806676335645,0.2546594282690475,0.012928868488980665
