track_name,model_name,coverage,n_retained,mae_retained,median_abs_error_retained,mean_uncertainty_retained
PARM_GSE301246_held_out_context_track_2,T05_uncertainty_ensemble_proxy,0.2,7500,54.7485443441166,46.63802538913558,10.62731234841274
PARM_GSE301246_held_out_context_track_2,T05_uncertainty_ensemble_proxy,0.3,11250,57.39953941587102,48.387445483544624,11.67050463332594
PARM_GSE301246_held_out_context_track_2,T05_uncertainty_ensemble_proxy,0.4,15000,59.92986446296011,50.23359250734262,12.643998592021909
PARM_GSE301246_held_out_context_track_2,T05_uncertainty_ensemble_proxy,0.5,18750,62.91357369273367,52.52021599329841,13.639387870285749
PARM_GSE301246_held_out_context_track_2,T05_uncertainty_ensemble_proxy,0.6,22500,66.67909838756016,55.1818624404964,14.692747353201447
PARM_GSE301246_held_out_context_track_2,T05_uncertainty_ensemble_proxy,0.7,26250,71.1040539226329,58.01356904076147,15.829125084962252
PARM_GSE301246_held_out_context_track_2,T05_uncertainty_ensemble_proxy,0.8,30000,76.38152075759312,61.20161040514359,17.05661123257511
PARM_GSE301246_held_out_context_track_2,T05_uncertainty_ensemble_proxy,0.9,33750,84.071638126479,65.48038946099288,18.4659716501311
PARM_GSE301246_held_out_context_track_2,T05_uncertainty_ensemble_proxy,1.0,37500,96.32055262838011,70.35133426233726,20.941639628210567
PARM_GSE301246_held_out_context_track_TaskB,T05_uncertainty_ensemble_proxy,0.1,13,0.6092259399033828,0.5301355054351092,0.2136859874909807
PARM_GSE301246_held_out_context_track_TaskB,T05_uncertainty_ensemble_proxy,0.2,27,0.5994258002212338,0.5301355054351092,0.2583949452946817
PARM_GSE301246_held_out_context_track_TaskB,T05_uncertainty_ensemble_proxy,0.3,40,0.5416473225705355,0.443478793651421,0.290053478798744
PARM_GSE301246_held_out_context_track_TaskB,T05_uncertainty_ensemble_proxy,0.4,53,0.5535750549068605,0.4672777910647853,0.3172554383194161
PARM_GSE301246_held_out_context_track_TaskB,T05_uncertainty_ensemble_proxy,0.5,66,0.563304687315798,0.4585667609243995,0.3423582731149066
PARM_GSE301246_held_out_context_track_TaskB,T05_uncertainty_ensemble_proxy,0.6,80,0.5642230120222502,0.4585667609243995,0.3689780358154376
PARM_GSE301246_held_out_context_track_TaskB,T05_uncertainty_ensemble_proxy,0.7,93,0.5618550583852618,0.4498557307840138,0.396090611818172
PARM_GSE301246_held_out_context_track_TaskB,T05_uncertainty_ensemble_proxy,0.8,106,0.5406958374723287,0.4235156289813012,0.4250789723131134
PARM_GSE301246_held_out_context_track_TaskB,T05_uncertainty_ensemble_proxy,0.9,120,0.5451068225040935,0.4282462561561555,0.46093947908601
PARM_GSE301246_held_out_context_track_TaskB,T05_uncertainty_ensemble_proxy,1.0,133,0.5466157507958869,0.4321088083672431,0.5159146804143947
Random_Promoter_DREAM_base_track_5,T05_uncertainty_ensemble_proxy,0.1,1422,0.1933161953403653,0.1486179648907015,0.0281678601995347
Random_Promoter_DREAM_base_track_5,T05_uncertainty_ensemble_proxy,0.2,2844,0.2221844441768257,0.1649692293309918,0.0340127641806949
Random_Promoter_DREAM_base_track_5,T05_uncertainty_ensemble_proxy,0.3,4266,0.24164107971789,0.177464533877678,0.0382871416182568
Random_Promoter_DREAM_base_track_5,T05_uncertainty_ensemble_proxy,0.4,5688,0.2599403496725497,0.1903632503353623,0.0419628948770559
Random_Promoter_DREAM_base_track_5,T05_uncertainty_ensemble_proxy,0.5,7110,0.2780357148482051,0.2081047590063446,0.0454181022119465
Random_Promoter_DREAM_base_track_5,T05_uncertainty_ensemble_proxy,0.6,8533,0.2928762509080189,0.2216908105127218,0.0487880105250611
Random_Promoter_DREAM_base_track_5,T05_uncertainty_ensemble_proxy,0.7,9955,0.3066505344324779,0.232739401001326,0.0521820729339263
Random_Promoter_DREAM_base_track_5,T05_uncertainty_ensemble_proxy,0.8,11377,0.318094035494726,0.243006886304696,0.0557903167283906
Random_Promoter_DREAM_base_track_5,T05_uncertainty_ensemble_proxy,0.9,12799,0.3286251014931696,0.2527391136605965,0.0600469680332592
Random_Promoter_DREAM_base_track_5,T05_uncertainty_ensemble_proxy,1.0,14221,0.3373048735674001,0.2606784732632808,0.0681447384811767
