track_a,track_b,seq_overlap_count,seq_jaccard,seq_overlap_fraction_of_smaller_track,id_overlap_count,id_overlap_fraction_of_smaller_track,target_corr_on_overlapping_sequences,n_overlap_for_target_corr,best_metric_signature_identical,leakage_or_duplication_risk,best_model_a,best_model_b,best_r2_a,best_r2_b
Random_Promoter_DREAM_base_track_5,extra_test_maude_shift_predictions_v0,13871,0.3550385215900074,1.0,20000,0.2812820837376763,0.7261742145576868,13871,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,M09_dynamic_condition_weighted_multi_char6,0.6491104448680286,-12.164092131389452
Random_Promoter_DREAM_base_track_2,Random_Promoter_DREAM_base_track_9,13871,0.3550385215900074,1.0,0,0.0,0.9945478583664432,13871,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T04_observable_alignment_proxy,0.6491104448680286,0.6126186643836083
Random_Promoter_DREAM_base_track_2,Random_Promoter_DREAM_base_track_13,13871,0.3550385215900074,1.0,0,0.0,0.9945478583664432,13871,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T04_observable_alignment_proxy,0.6491104448680286,0.6126186643836083
Random_Promoter_DREAM_base_track_2,Random_Promoter_DREAM_base_track_18,13871,0.3550385215900074,1.0,0,0.0,0.9945478583664432,13871,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T04_observable_alignment_proxy,0.6491104448680286,0.6126186643836083
Random_Promoter_DREAM_base_track_8,Random_Promoter_DREAM_base_track_14,20000,0.2,1.0,20000,1.0,0.9999999999999998,20000,False,duplicate_or_near_duplicate,T02_selection_potential_proxy,T04_observable_alignment_proxy,0.2733663743201212,0.2739614602244904
Random_Promoter_DREAM_base_track_8,Random_Promoter_DREAM_base_track_19,20000,0.2,1.0,20000,1.0,0.9999999999999998,20000,False,duplicate_or_near_duplicate,T02_selection_potential_proxy,T04_observable_alignment_proxy,0.2733663743201212,0.2739614602244904
Random_Promoter_DREAM_base_track_10,Random_Promoter_DREAM_base_track_12,20000,0.2,1.0,20000,1.0,0.9999999999999998,20000,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T02_selection_potential_proxy,0.2762271545149858,0.2445400023666976
Random_Promoter_DREAM_base_track_10,extra_test_inregime_predictions_v0,20000,0.2,1.0,20000,0.25,0.8801340350073168,20000,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,M09_dynamic_condition_weighted_multi_char6,0.2762271545149858,-20.82777179096411
Random_Promoter_DREAM_base_track_8,Random_Promoter_DREAM_base_track_16,20000,0.1339961677096035,1.0,20000,1.0,0.9999999999999998,20000,False,duplicate_or_near_duplicate,T02_selection_potential_proxy,T04_observable_alignment_proxy,0.2733663743201212,0.2796569209540137
Random_Promoter_DREAM_base_track_10,Random_Promoter_DREAM_base_track_16,80138,0.4738528855250709,0.80138,100000,1.0,1.0,50000,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T04_observable_alignment_proxy,0.2762271545149858,0.2796569209540137
Random_Promoter_DREAM_base_track_10,Random_Promoter_DREAM_base_track_14,80000,0.6666666666666666,0.8,100000,1.0,1.0,50000,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T04_observable_alignment_proxy,0.2762271545149858,0.2739614602244904
Random_Promoter_DREAM_base_track_10,Random_Promoter_DREAM_base_track_19,80000,0.6666666666666666,0.8,100000,1.0,1.0,50000,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T04_observable_alignment_proxy,0.2762271545149858,0.2739614602244904
