track_name,analysis_level,model_id,r2,rmse,mae,n_test,source_table,claim_level,source_role,interpretation_note,display_level
PARM_GSE301246_held_out_context_track_TaskB,04_grammar_plus_P01_P05_candidate,T01_mutational_prior_proxy,0.0138868353099598,0.6525932461357723,0.5098057222025701,133.0,ALL_TRACKS_metrics_summary.csv,headline_transfer_evidence,held-out/context transfer branch,,04_grammar_plus_P01_P05_best
PARM_GSE301246_held_out_context_track_TaskB,04_grammar_plus_P01_P05_candidate,T02_selection_potential_proxy,-0.3460383151368691,0.7624439236713034,0.5731767894909708,133.0,ALL_TRACKS_metrics_summary.csv,headline_transfer_evidence,held-out/context transfer branch,,04_grammar_plus_P01_P05_best
PARM_GSE301246_held_out_context_track_TaskB,04_grammar_plus_P01_P05_candidate,T03_latent_state_operator_proxy,-0.014988144150636,0.6620787989977958,0.5261285502041434,133.0,ALL_TRACKS_metrics_summary.csv,headline_transfer_evidence,held-out/context transfer branch,,04_grammar_plus_P01_P05_best
PARM_GSE301246_held_out_context_track_TaskB,04_grammar_plus_P01_P05_candidate,T04_observable_alignment_proxy,-0.9517263935942628,0.91809720255791,0.7128670594421876,133.0,ALL_TRACKS_metrics_summary.csv,headline_transfer_evidence,held-out/context transfer branch,,04_grammar_plus_P01_P05_best
PARM_GSE301246_held_out_context_track_TaskB,04_grammar_plus_P01_P05_candidate,T05_uncertainty_ensemble_proxy,-0.0900094574162395,0.6861109168629391,0.5466157507958871,133.0,ALL_TRACKS_metrics_summary.csv,headline_transfer_evidence,held-out/context transfer branch,,04_grammar_plus_P01_P05_best
PARM_GSE301246_Task_C_stress_test,01_GC_length_only,M01_GC_length,-0.1454147563776815,0.1613166886707199,0.1025262116502254,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,,01_GC_length_only
PARM_GSE301246_Task_C_stress_test,02_GC_length_plus_6mer,M02_GC_length_char6,-0.1780956522229646,0.1636018417395175,0.1020187281461221,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,Closest available table is GC/length + 6-mer; a pure 6-mer-only row was not identified.,02_GC_length_plus_6mer
PARM_GSE301246_Task_C_stress_test,03_grammar_ladder_candidate,M03_GC_length_multi_char6,-0.211438112556654,0.1659008182917805,0.1022150730501196,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,,03_grammar_ladder_best
PARM_GSE301246_Task_C_stress_test,03_grammar_ladder_candidate,M04_GC_length_windowed_char6,-0.1733915466027,0.1632748860598208,0.1021824139655779,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,,03_grammar_ladder_best
PARM_GSE301246_Task_C_stress_test,03_grammar_ladder_candidate,M05_GC_length_windowed_multi_char6,-0.3081900174337753,0.1723984382261381,0.1036107369058517,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,,03_grammar_ladder_best
PARM_GSE301246_Task_C_stress_test,03_grammar_ladder_candidate,M06_GC_length_condition_gated_char6,-0.0388875635281249,0.1536321773004771,0.0772293180340149,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,,03_grammar_ladder_best
